,id,finishingType,readyToMove,IsCompound,npv,npvPerMeter,totalPrice,pricePerMeter,deliveryMonth,deliveryYear,IsPrimarySale,hasRealEstateFinancing,unitType,bua,bedrooms,bathrooms,land,garage,city.nameEnglish,district.nameEnglish,region.nameEnglish,compound.nameEnglish,developer.nameEnglish,financialPlan.downPayment,financialPlan.numberOfYears,financialPlan.monthlyPayment,Calculated Price
600,61c30b21a94cf2ddceeabf98,1,1,1,10500000,30882,10500000,30882,11,2021,0,0,8,340,4,4,400,1,1,20,Greater Cairo,Atrio,IWAN Developments,10500000,0,0,7000000
582,618d713550ac7c17e1df5158,1,1,1,7200000,21176,7200000,21176,1,2021,0,0,7,340,3,4,466,1,1,20,Greater Cairo,Meadows Park,,7200000,0,0,16000000
702,618d786c50ac7c17e1df531b,1,1,1,7000000,20588,7000000,20588,1,2021,0,0,8,340,4,4,615,1,1,0,Greater Cairo,Grand Heights 6th October,,7000000,0,0,6500000
991,6193205e9bb23202531fa689,1,1,1,7200000,21176,7200000,21176,6,2021,0,0,7,340,3,4,466,1,1,20,Greater Cairo,Royal Meadows,,7200000,0,0,16000000
248,61a490f6db5442f152fb71f5,1,1,1,8000000,23529,8000000,23529,11,2021,0,0,7,340,6,6,300,1,4,1,Red Sea,Al Ein Bay,,8000000,0,0,25000000
31,613e159ddc6dbdfee887a4ea,0,1,1,10350000,30352,10350000,30352,1,2021,0,0,7,341,4,4,362,1,0,14,Greater Cairo,Mivida,Emaar Misr,10350000,0,0,5500000
370,618d21459bb23202531dc7e1,0,1,1,5100000,14783,5100000,14783,9,2021,0,0,8,345,4,4,606,1,1,0,Greater Cairo,Dream Land,,5100000,0,0,7000000
866,618ba39b50ac7c17e1deba47,0,1,1,5500000,15942,5500000,15942,2,2021,0,0,2,345,3,4,400,1,1,0,Greater Cairo,Ivoryhill,,5500000,0,0,3500000
61,613f0ad7dc6dbdfee887bae6,1,1,1,10250000,29539,10250000,29539,1,2021,0,0,7,347,4,5,384,1,0,14,Greater Cairo,Mivida,Emaar Misr,10250000,0,0,5500000
149,6020371c520b210011f7ed6a,1,1,0,56000000,160000,56000000,160000,1,2020,0,0,4,350,4,4,350,1,0,23,Greater Cairo,,,56000000,0,0,8000000
645,61b9c047981d2e9a04d9df09,0,1,1,6500000,18571,6500000,18571,11,2021,0,0,7,350,4,4,750,1,1,20,Greater Cairo,Royal Meadows,,6500000,0,0,6500000
980,619396fa50ac7c17e1e0f84d,0,1,1,18000000,51429,18000000,51429,1,2021,0,0,8,350,4,4,860,1,3,22,Matrouh,Hacienda Bay,Palm Hills,18000000,0,0,7000000
244,61c076dbc945558b837fda68,0,1,1,6500000,18571,6500000,18571,11,2021,0,0,7,350,4,4,750,1,1,20,Greater Cairo,Royal Meadows,,6500000,0,0,6500000
35,6171b692fdee9793b05cc6d1,1,1,0,18000000,51429,18000000,51429,1,2021,0,0,0,350,4,3,350,0,0,23,Greater Cairo,,,18000000,0,0,4500000
228,6187f8d883b9d1093bde2eb1,1,1,1,5500000,15714,5500000,15714,5,2021,0,0,7,350,3,3,380,1,0,14,Greater Cairo,Galleria Moon Valley,,5500000,0,0,10000000
155,60ae1091f426ee0011424424,1,1,0,24000000,68571,24000000,68571,12,2020,0,0,0,350,3,3,350,0,0,23,Greater Cairo,,,24000000,0,0,4500000
923,61c9c618400a5a9d20c11917,0,1,1,9000000,25714,9000000,25714,12,2021,0,0,7,350,4,4,500,1,1,0,Greater Cairo,Bamboo Extension,,9000000,0,0,7000000
766,61c088a2a94cf2ddceea8a33,0,1,1,11949999,34143,11949999,34143,1,2021,0,0,8,350,4,5,850,1,1,20,Greater Cairo,Al Karma 4,,11949999,0,0,6500000
78,603e4b598432c30011c6562b,1,1,0,16000000,45714,16000000,45714,1,2020,0,0,0,350,4,4,350,0,0,23,Greater Cairo,,,16000000,0,0,4500000
