id,finishingType,readyToMove,IsCompound,npv,npvPerMeter,totalPrice,pricePerMeter,deliveryMonth,deliveryYear,IsPrimarySale,hasRealEstateFinancing,unitType,bua,bedrooms,bathrooms,land,garage,city.nameEnglish,district.nameEnglish,region.nameEnglish,compound.nameEnglish,developer.nameEnglish,financialPlan.downPayment,financialPlan.numberOfYears,financialPlan.monthlyPayment
61cc44b77f3ac73df7fc8403,ff,1,1,2350000,19262,2350000,19262,1,2021,0,0,apartment,122,2,2,122,0,Cairo,New Cairo,Greater Cairo,Lake View Residence,,2350000,0,0
61a8b7710ef7eff1c7f0e248,ff,1,1,860000,8600,860000,8600,12,2021,0,0,chalet,100,2,2,100,0,Suez,Al Ain Al Sokhna,Red Sea,Porto Sokhna,,860000,0,0
61ae10ff934b7272dde9a209,ff,1,1,1650000,16667,1650000,16667,12,2021,0,0,apartment,99,2,1,0,1,Cairo,New Cairo,Greater Cairo,El Rehab Extension,talaat moustafa group,1650000,0,0
6193cd7e50988ed12f6b3fd3,cs,1,1,4850000,18654,4850000,18654,1,2021,0,1,town house,260,4,4,306,1,Giza,6th October City,Greater Cairo,Palm Hills WoodVille,Palm Hills,4850000,0,0
61c9e055400a5a9d20c11e92,ff,1,1,5358000,23500,5358000,23500,1,2021,0,0,apartment,228,2,2,228,1,Cairo,New Cairo,Greater Cairo,Lake View,Al Hazek,5358000,0,0
61bbbe1663c3b38c0d330025,ff,0,1,1661724,14326,4736888,40836,3,2024,1,0,apartment,116,2,3,116,1,Giza,Sheikh Zayed City,Greater Cairo,Cairo Gate,Emaar Misr,236844,8,46875
61d1b33ff6765d486752b01e,ff,1,1,1900000,13380,1900000,13380,1,2021,0,0,apartment,142,2,3,142,0,Cairo,New Cairo,Greater Cairo,Lake View Residence,,1900000,0,0
6193fb949bb23202531fd0f2,ff,1,0,4400000,22000,4400000,22000,1,2021,0,0,apartment,200,3,2,200,0,Cairo,Zamalek,Greater Cairo,,,4400000,0,0
61d1a52661795c05c0c1026e,ff,0,1,3500000,21212,3500000,21212,1,2022,0,0,chalet,165,3,3,165,0,Suez,Al Ain Al Sokhna,Red Sea,La Vista 7,la vista developments,3500000,0,0
61c9e160e41ba53f7d474d29,ff,1,1,4500000,21739,4500000,21739,1,2021,0,0,apartment,207,3,3,207,1,Cairo,New Cairo,Greater Cairo,Lake View,Al Hazek,4500000,0,0
618b08a3d8b2348a53e5fc54,ff,1,1,7500000,25000,7500000,25000,6,2021,0,0,duplex,300,4,4,420,1,Cairo,Mokattam,Greater Cairo,Uptown Cairo,Emaar Misr,7500000,0,0
61cc3aac7f3ac73df7fc8270,ff,1,1,4200000,14634,4200000,14634,12,2021,0,0,i-villa,287,3,3,287,0,Cairo,New Cairo,Greater Cairo,Mountain View Hyde Park,Mountain View,4200000,0,0
61cb3a3061795c05c0bee92e,ff,1,1,1250000,5787,1250000,5787,8,2022,0,0,apartment,216,3,4,216,0,Cairo,New Cairo,Greater Cairo,Mountain View Hyde Park,Mountain View,1250000,0,0
61c9965183191bdf74b2d936,ff,1,1,3919813,25289,3919813,25289,1,2021,0,0,apartment,155,3,3,155,1,Cairo,New Cairo,Greater Cairo,Azad,,3919813,0,0
618b15d7a28227d4fdbbfcee,ff,1,0,2550000,11591,2550000,11591,3,2021,0,0,apartment,220,3,3,220,1,Giza,Dokki,Greater Cairo,,,2550000,0,0
61cc404fc22766c33ea64da4,cs,0,1,5600000,18983,5600000,18983,1,2022,0,0,twin house,295,4,4,311,0,Cairo,New Cairo,Greater Cairo,El Patio Oro,la vista developments,5600000,0,0
619667fef112cc1c07a32b11,ff,1,0,2200000,12571,2200000,12571,1,2021,0,0,apartment,175,3,3,175,1,Cairo,Madinaty,Greater Cairo,,,2200000,0,0
618bf4309bb23202531d8ae8,ff,1,1,5800000,21970,5800000,21970,1,2021,0,0,apartment,264,3,3,264,1,Giza,6th October City,Greater Cairo,Amberville,,5800000,0,0
61891324c9d894e71c0b40c5,cs,1,1,5000000,15823,5000000,15823,1,2021,0,0,i-villa,316,4,3,400,1,Giza,Sheikh Zayed City,Greater Cairo,Royal Meadows,,5000000,0,0
61dc0e3219ee10facb9f8ded,ff,1,0,2250000,11250,2250000,11250,1,2021,0,0,apartment,200,3,2,200,0,Giza,Sheikh Zayed City,Greater Cairo,,,2250000,0,0
